OBJECTID,AED_ID,OPERATING_HOURS,HOUSE_NUMBER,ROAD_NAME,BUILDING_NAME,UNIT_NUMBER,POSTAL_CODE,AED_LOCATION_DESCRIPTION,AED_LOCATION_FLOOR_LEVEL,LATITUDE,LONGITUDE,XVAL,YVAL,INC_CRC,FMEL_UPD_D,geo_longitude,geo_latitude,flag_missing_address,flag_invalid_coords,flag_duplicate_coords,flag_malformed_hours,any_flag
18662,098136-004,Mon - Sun 00:00-23:59;,22,Sentosa Gateway,SEA Aquarium,,98136,Level B1M Open Ocean Habitat (Highest Tier Of Viewing Gallery),B1M,1.258654,103.8183899,26338.58154,26801.16493,0CD98DA545DAAB9D,20200210102016,103.81839022550984,1.2586546647646688,False,False,False,False,False
18663,098136-006,Mon - Sun 00:00-23:59;,22,Sentosa Gateway,SEA Aquarium,,98136,Level B1 Freshwater Lakes (Left Side Of Exhibit),B1,1.25855506,103.8187485,26378.48903,26790.22402,50C661B41C959E4A,20200210102016,103.8187488071588,1.2585557211299327,False,False,False,False,False
18664,098137-001,Mon - Sun 00:00-23:59;,24,Sentosa Gateway,SEA Aquarium,,98137,"Level B1 Near SEA Aquarium Entrance Or Exit, Opposite Passenger Lift",B1,1.25880396,103.8203583,26557.6486,26817.74614,613A270C404E6AE4,20200210102016,103.82035860970434,1.2588046299481723,False,False,False,False,False
18665,098138-001,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,Level 1 Beside Hard Rock Caf̩ (Beside Staircase Leading To Hard Rock Hotel),1,1.25736702,103.8202515,26545.76045,26658.85586,3FBC0007241B3217,20200210102016,103.82025179863794,1.2573676819338422,False,False,False,False,False
18666,098138-002,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,Level B1 VIP Car Park Beside Crash Barrier,B1,1.25633705,103.820343,26555.94905,26544.96726,CE8E0C8F7C49B7AE,20200210102016,103.82034335137142,1.2563377136602574,False,False,False,False,False
18667,098138-005,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,Level B2 Car Park Opposite Clinic (Pillar Beside Escalator),B2,1.256337,103.820342,26555.8358,26544.9621,C58574BE140272F1,20200210102016,103.82034233333738,1.256337666628175,False,False,False,False,False
18668,098138-006,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,Level 1 Walkway Outside Malaysia Food Street (Facing Water Front),1,1.25717902,103.8218842,26727.46716,26638.06771,D6448914480317C4,20200210102016,103.82188448897614,1.257179688430052,False,False,False,False,False
18669,098138-007,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,"Level B1 Car Park Red Zone, Pillar L Beside Zebra Crossing To Red Zone Car Park",B1,1.25674796,103.8205032,26573.78032,26590.40396,831F0D6A93F97497,20200210102016,103.8205035680151,1.256748628108487,False,False,False,False,False
18670,098138-008,Mon - Sun 00:00-23:59;,26,Sentosa Gateway,Resorts World Sentosa,,98138,"Level B1 Car Park Green Zone, Pillar H Opposite Escalator To Water Front Mountain Area",B1,1.25619495,103.8221283,26754.6378,26529.25394,234E941C1CF0C489,20200210102016,103.82212862919108,1.2561956154737783,False,False,False,False,False
18671,098139-002,Mon - Sun 00:00-23:59;,28,Sentosa Gateway,Hard Rock Hotel,,98139,Level 2 Hard Rock Hotel Pool Towel Kiosk,2,1.25730896,103.8190308,26409.90486,26652.43716,4BB8FF3E4E6BF1BC,20200210102016,103.81903109540802,1.2573096270100148,False,False,False,False,False
18672,098139-003,Mon - Sun 00:00-23:59;,28,Sentosa Gateway,Hard Rock Hotel,,98139,Level 2 Hard Rock Hotel Swimming Pool (Behind Pool Slide),2,1.25744402,103.8194199,26453.2089,26667.37161,724639E42C5BC012,20200210102016,103.81942019418602,1.2574446906240024,False,False,False,False,False
18673,098140-001,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Beside That's A Wrap Retail Shop (Inside Lockers Area),1,1.25622296,103.8213806,26671.42626,26532.35197,E2BC72D7FBD94B07,20200210102016,103.82138094896332,1.2562236302747585,False,False,False,False,False
18674,098140-002,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Sci-Fi Transformers Ride (Ride Unload Area),1,1.25433099,103.8215485,26690.10546,26323.14759,0CA708FCA770F385,20200210102016,103.82154879560775,1.254331659461586,False,False,False,False,False
18675,098140-004,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Sesame Street Spaghetti Space Chase (Exit To Retail),1,1.25511205,103.8215332,26688.40765,26409.51308,82C548519A070A02,20200210102016,103.82153353688057,1.2551127188357485,False,False,False,False,False
18676,098140-005,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,"Level 1 New York Lights, Camera, Action (Corridor After Pre-Show Area)",1,1.25485694,103.82164,26700.2949,26381.30452,3C25F760B29F6588,20200210102016,103.8216403480004,1.2548576105843812,False,False,False,False,False
18677,098140-006,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Sci-Fi Accelerator (Control Counter),1,1.25375998,103.8215866,26694.35067,26260.00797,217479091F088F76,20200210102016,103.82158694251208,1.2537606471222775,False,False,False,False,False
18678,098140-007,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Hollywood Theater Pantages (Right Side Of Theatre Or Stage Left),1,1.25550306,103.8219376,26733.41003,26452.74834,0F1119BE37CBC043,20200210102016,103.82193789408466,1.2555037247001837,False,False,False,False,False
18679,098140-009,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 2 Sci-Fi Battlestar Galactica (Lift Lobby),2,1.25328004,103.8217316,26710.4833,26206.939,56C825CB647BA086,20200210102016,103.82173190070404,1.253280710251237,False,False,False,False,False
18680,098140-010,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 2 Egypt Revenge Of Mummy (Ride Unload Area),2,1.253425,103.8232346,26877.75577,26222.96707,E5FD2AF2E78F8BD3,20200210102016,103.82323489170032,1.2534256690623449,False,False,False,False,False
18681,098140-011,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Madagascar Crate Adventure (Ride Unload Area),1,1.25580096,103.8229904,26850.58566,26485.68854,455C730B2E29A955,20200210102016,103.82299075118854,1.2558016287779454,False,False,False,False,False
18682,098140-012,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Egypt Treasure Hunters (Control Counter),1,1.25385106,103.8229523,26846.33931,26270.07803,56EE875E751D4AF0,20200210102016,103.8229526037125,1.253851722496704,False,False,False,False,False
18683,098140-013,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 FFA Enchanted Airways (Opposite Control Station),1,1.25494301,103.8234787,26904.92755,26390.82075,8946FF6B5740E483,20200210102016,103.82347903247944,1.2549436803018708,False,False,False,False,False
18684,098140-015,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 FFA Fairy Godmother (Pillar Beside Ferris Wheel),1,1.25502598,103.8238754,26949.08068,26399.99494,2AC9D97DE1D11A4D,20200210102016,103.82387576074356,1.2550266491350883,False,False,False,False,False
18561,098140-016,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Jurassic Park Amber Rocks (Control Counter),1,1.25357294,103.8245926,27028.89535,26239.32482,BEB7A168F3159721,20200210102016,103.82459292409268,1.2535736073111374,False,False,False,False,False
18562,098140-017,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 1 Water World (Behind Middle Section Of Seating Gallery),1,1.25321102,103.8248444,27056.91547,26199.30556,6D3F4B9CD5D4F34B,20200210102016,103.82484469394998,1.2532116884578004,False,False,False,False,False
18563,098140-018,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 2 Jurassic Park Canopy Flyer,2,1.25390804,103.8242874,26994.93154,26276.37826,3C661E01E8A6472D,20200210102016,103.82428774749096,1.2539087051971989,False,False,False,False,False
18564,098140-019,Mon - Sun 00:00-23:59;,30,Sentosa Gateway,Universal Studios Singapore,,98140,Level 2 FFA Puss In Boots Giant Journey (Outside Control Room),2,1.25452495,103.8243637,27003.42276,26344.59272,98E71CC3F49C37DB,20200210102016,103.82436404218356,1.2545256126984086,False,False,False,False,False
18565,098269-010,Mon - Sun 00:00-23:59;,8,Sentosa Gateway,Resorts World Casino,,98269,Casino - 10 AEDs Available. Please Approach RWS Staffs For Assistance,1,1.25535095,103.8204269,26565.28858,26435.92947,7BDB57DB316D02A8,20200210102016,103.8204272744003,1.255351614278723,False,False,False,False,False
18566,100108-001,Mon - Sun 08:00-22:00;,108A,Depot Road,Depot Heights Shopping Centre,#01-01,100108,Level 1 NTUC Fairprice Near Fresh Fruit Section,1,1.28100002,103.8099976,25404.59735,29272.07913,9E448F5761EDE318,20200210102016,103.80999789238024,1.2810006845488162,False,False,False,False,False
18567,109433-002,Mon - Sun 06:00-22:00;,2,Malan Road,Academy of Singapore Teachers,,109433,"Level 1 Blk A, Outside Library (Available During Operating Hours. Approach Security Officer At Main Gate.)",1,1.27595401,103.8032074,24648.90109,28714.12524,66F75A985BE17B69,20200210102016,103.80320773090536,1.275954674427523,False,False,False,False,False
18568,109683-001,Mon - Sun 00:00-23:59;,138,Depot Road,,,109683,Level 1 Security Room,1,1.282965,103.808441,25231.36715,29489.35832,78B2FDE4A77EE8D9,20200210102016,103.80844133376824,1.2829656665101692,False,False,False,False,False
18569,117528-001,Mon - Sun 00:00-23:59;,1,Science Park Road,The Capricorn,,117528,Level 1 Main Lobby,1,1.289658,103.778513,21900.64208,30229.48791,057C861DFFD1CA80,20200210102016,103.778513333514,1.289658666600883,False,False,False,False,False
18570,117540-001,Mon - Sun 00:00-23:59;,8,Port Road,City Beach Resort,,117540,Outside Small White Building (Carpark C),,1.26406,103.804739,24819.34178,27398.94531,A94D35479FF50381,20200210102016,103.80473933347396,1.264060666595075,False,False,False,False,False
18571,117578-002,Mon - Sun 00:00-23:59;,3,Engineering Drive 2,Blk E1,,117578,"Blk EA, Level 1, Lift Lobby",1,1.29886401,103.7710495,21070.04261,31247.46039,B9439B023ED6CE2C,20200210102016,103.7710498327082,1.2988646737663272,False,False,False,False,False
18572,117610-001,Mon - Sun 00:00-23:59;,41,Science Park Road,The Gemini,,117610,Level 2 Main Lobby,1,1.288564,103.783304,22433.83741,30108.50801,C8CE648E95CAE114,20200210102016,103.783304333214,1.2885646665942214,False,False,False,False,False
18573,117610-002,Mon - Sun 00:00-23:59;,41,Science Park Road,The Gemini,,117610,Level 2 Lift Lobby A,2,1.288945,103.782193,22310.19332,30150.63949,105BBD719FFDD879,20200210102016,103.7821933331314,1.2889456667319326,False,False,False,False,False
18574,117610-003,Mon - Sun 00:00-23:59;,41,Science Park Road,The Gemini,,117610,Level 2 Lift Lobby B,2,1.287883,103.783507,22456.42813,30033.20607,4FCE93683972ECDD,20200210102016,103.78350733306404,1.287883666914045,False,False,False,False,False
18575,117674-001,Mon - Sun 00:00-23:59;,20,Science Park Road,Teletech Park,,117674,Level 1 Main Lobby,1,1.286832,103.781726,22258.21543,29916.99582,82FCFE174828DCB5,20200210102016,103.78172633301514,1.2868326665245795,False,False,False,False,False
18576,118265-001,Mon - Sun 00:00-23:59;,5,Science Park Drive,,,118265,Level 1 Main Lobby,1,1.292458,103.786866,22830.26584,30539.07907,929FE37265B218F6,20200210102016,103.78686633294218,1.292458666968004,False,False,False,False,False
18577,118543-001,Mon - Sun 00:00-23:59;,121,Pasir Panjang Road,Pasir Panjang Food Centre,,118543,Level 1 Outside Toilet,1,1.27600896,103.7912369,23316.67693,28720.22063,693D21B0E5208A6D,20200210102016,103.79123721049956,1.2760096299871035,False,False,False,False,False
18578,120331-001,Mon - Sun 00:00-23:59;,331,Clementi Avenue 2,,,120331,Level 1 Lift Lobby B,1,1.314183,103.767825,20711.22852,32941.36597,7B1C8DA12A32CF90,20200210102016,103.76782533317576,1.3141836668992348,False,False,False,False,False
18579,120343-001,Mon - Sun 00:00-23:59;,343,Clementi Avenue 5,,,120343,Level 1 Lift Lobby B,1,1.317752,103.771032,21068.14692,33335.99876,40A4A4C7E602BD1E,20200210102016,103.77103233309576,1.3177526670316424,False,False,False,False,False
18580,120359-001,Mon - Sun 00:00-23:59;,359,Clementi Avenue 2,,,120359,Level 1 Lift Lobby B,1,1.313491,103.769871,20938.92689,32864.84225,53B7A1169CB284D9,20200210102016,103.76987133343212,1.3134916671484291,False,False,False,False,False
18581,120377-001,Mon - Sun 00:00-23:59;,377,Clementi Avenue 5,,,120377,Level 1 Lift Lobby B,1,1.3175,103.7678,20708.45589,33308.1431,6777E0B48E4290D5,20200210102016,103.76780033343184,1.3175006666341196,False,False,False,False,False
18582,120381-001,Mon - Sun 00:00-23:59;,381,Clementi Avenue 5,,,120381,Level 1 Lift Lobby C,1,1.31868,103.767744,20702.22706,33438.62169,560CE1C6E0B7D3D6,20200210102016,103.76774433363626,1.318680666736382,False,False,False,False,False
18583,120419-001,Mon - Sun 00:00-23:59;,419,Clementi Avenue 1,,,120419,Level 1 Lift Lobby A,1,1.310231,103.76945,20892.06438,32504.36918,3D55D5030607CB11,20200210102016,103.76945033347111,1.310231666861274,False,False,False,False,False
18584,120462-001,Mon - Sun 00:00-23:59;,462,Clementi Avenue 3,,,120462,Level 1 Lift Lobby C,1,1.311099,103.765906,20497.65289,32600.35856,42B068C82C982B88,20200210102016,103.76590633340903,1.3110996670702018,False,False,False,False,False
18585,121440-001,Mon - Sun 00:00-23:59;,440A,Clementi Avenue 3,,,121440,Level 1 Lift Lobby A,1,1.315938,103.764023,20288.10749,33135.43641,105FE54B2BB67CA8,20200210102016,103.76402333343476,1.315938666533276,False,False,False,False,False
18586,123440-001,Mon - Sun 00:00-23:59;,440C,Clementi Avenue 3,,,123440,Level 1 Lift Lobby C,1,1.316635,103.763935,20278.31607,33212.50742,5F3114D09F0D6961,20200210102016,103.76393533353962,1.3166356664633363,False,False,False,False,False
18587,126784-001,Mon - Sun 00:00-23:59;,51,West Coast Highway,,,126784,Level 1 Area 2 Toilet,1,1.29201198,103.7661667,20526.60871,30489.81155,BC9AC08B65C0C040,20200210102016,103.7661670202398,1.2920126433348813,False,False,False,False,False
18588,128378-001,Mon - Fri 08:30-18:00; Sat 08:30-13:00; Sun Closed;,188,Pandan Loop,,,128378,Level 1 Workshop Office,1,1.30909598,103.7535172,19118.88296,32378.91509,5962259552B5CC15,20200210102016,103.75351748458868,1.309096645516037,False,False,False,False,False
18589,128378-002,Mon - Fri 08:30-18:00; Sat 08:30-13:00; Sun Closed;,188,Pandan Loop,,,128378,"Level 1 Customer Service Centre, Outside Handicap Toilet",1,1.30931401,103.7540054,19173.2249,32403.02244,3D22BFA91B80E0C2,20200210102016,103.7540057654486,1.3093146788185996,False,False,False,False,False
18590,128378-003,Mon - Fri 08:30-18:00; Sat 08:30-13:00; Sun Closed;,188,Pandan Loop,,,128378,Level 1 Commercial Vehicle Customer Service Centre,1,1.30909598,103.7535172,19118.88296,32378.91509,59622595A77009C3,20200210102016,103.75351748458868,1.309096645516037,False,False,False,False,False
18591,129809-001,Mon - Fri 08:30-18:00;,2,Clementi Loop,Logis Hub @ Clementi,,129809,Level 1 Main Lobby,1,1.326611,103.763345,20212.68583,34315.60495,1E6955B3E67419C6,20200210102016,103.76334533304944,1.326611667086952,False,False,False,False,False
18592,138564-001,Mon - Sun 00:00-23:59;,31,Media Circle,,,138564,Level 2 Rooftop Lift,1,1.29512703,103.7930298,23516.24676,30834.19546,5F663EC526F409A3,20200210102016,103.79303011887863,1.2951277012407727,False,False,False,False,False
